NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
221;Eos;;EOS;S;K;S;;103.87;M;7.67;;S;;0.14;;10.443;;;;0.05;0.12;3;;;;Y;;
320;Katharina;;EOS;A;S;C;;24.57;M;10.8;;A;;0.14;;6.893;;;;0.19;0.21;3;;;;;;
339;Dorothea;1892 G;EOS;S;K;S;;38.25;M;9.24;;A;;0.2431;;5.974;;;;0.06;0.1;3;;;;;;
450;Brigitta;1899 EV;EOS;T;CSU;D;;33.46;M;10.1;;D;;0.1439;;10.7657;;;;0.22;0.31;3;;;;Y;;
513;Centesima;1903 LY;EOS;S;K;S;;50.15;M;9.75;;S;;0.0885;;5.23;;;;0.18;0.45;3;;;;Y;;
520;Franziska;1903 MV;EOS;T;CGU;D;;28.61;L;10.69;;S;;0.1143;;16.507;;;;0.35;0.51;3;;;;Y;;
529;Preziosa;1904 NT;EOS;T;S;D;;31.84;L;10.25;;S;;0.1384;;27;;;;;0.56;2;;;;Y;;
562;Salome;1905 QH;EOS;T;S;D;;30.56;L;10.05;;S;;0.1806;;6.351;;;;0.17;0.37;3;-;;;Y;;
573;Recha;1905 RC;EOS;A;S;D;;48.21;M;9.4;;D;;0.1321;;7.1663;;;;0.2;0.34;3;;;;Y;;
579;Sidonia;1905 SD;EOS;S;K;D;;85.95;L;7.84;;S;;0.1748;;16.286;;;;0.02;0.28;3;-;;;Y;;
590;Tomyris;1906 TO;EOS;A;S;D;;39.78;L;10.01;;D;;0.1106;;5.562;;;;0.21;0.93;3;;;;Y;;
608;Adolfine;1906 VD;EOS;A;S;D;;25.39;M;10.9;;D;;0.1196;;8.3458;;;;0.16;0.37;3;;;;Y;;
633;Zelima;1907 ZM;EOS;S;S;S;;34.37;M;9.73;;S;;0.1918;;11.73;;;;0.14;0.49;3;;;;;;
639;Latona;1907 ZT;EOS;T;S;D;;70.8;L;8.41;;S;;0.1524;;6.193;;;;0.07;0.35;3;;;;Y;;
651;Antikleia;1907 AN;EOS;T;S;S;;33.04;M;10.01;;S;;0.1603;;20.299;;;;0.13;0.41;3;;;;Y;;
653;Berenike;1907 BK;EOS;S;K;D;;39.18;L;9.2;;S;;0.2404;;12.4886;;;;0.03;0.11;3;;;;;;
661;Cloelia;1908 CL;EOS;S;K;D;;48.08;M;9.6;;D;;0.1104;;5.536;;;;;0.26;3;;;;;;
669;Kypria;1908 DQ;EOS;T;S;S;;31.75;M;10.24;;S;;0.1405;;14.283;;;;0.17;0.64;3;;;;Y;;
742;Edisona;1913 QU;EOS;S;K;S;;45.6;M;9.55;;S;;0.1286;;18.52;;;;0.24;0.3;3;;;;Y;;
766;Moguntia;1913 SW;EOS;T;MU;D;;31.18;L;10.27;;S;;0.1417;;4.8164;;;;0.06;0.23;3;;;;;;
775;Lumiere;1914 TX;EOS;T;S;D;;33.54;L;10.48;;S;;0.1009;;6.103;;;;0.19;0.28;3;;;;Y;;
798;Ruth;1914 VT;EOS;T;M;D;;43.01;M;9.6;;D;;0.138;;8.55;;;;0.19;0.36;3;;;;Y;;
807;Ceraskia;1915 WY;EOS;T;S;D;;26.15;L;10.69;;S;;0.1368;;7.368;;;;0.25;0.49;3;;;;Y;;
833;Monica;1916 AC;EOS;A;S;C;;21.4;M;11.1;;A;;0.14;;12.09;;;;0.11;0.19;3;;;;;;
