DIA;AMIN
103.87;0.05
24.57;0.19
38.25;0.06
33.46;0.22
50.15;0.18
28.61;0.35
31.84;
30.56;0.17
48.21;0.2
85.95;0.02
39.78;0.21
25.39;0.16
34.37;0.14
70.8;0.07
33.04;0.13
39.18;0.03
48.08;
31.75;0.17
45.6;0.24
31.18;0.06
33.54;0.19
43.01;0.19
26.15;0.25
21.4;0.11
27.33;0.3
27.52;
24.71;
35.52;0.64
31.67;0.14
31.53;0.14
36.95;
35.76;0.2
34.8;0.06
33.23;0.05
16.46;
35.56;0.2
31.25;
23.05;0.5
33.65;0.36
15.79;0.15
26;0.21
20.44;
21.7;
26.52;0.38
23.47;0.21
22.97;0.45
34.16;0.25
25.73;
25.17;0.34
31.13;
21.23;
28.75;0.11
29.49;
22.41;
28.44;
26.16;0.18
18.33;
17.8;
32.25;0.16
32.38;0.12
25.98;0.32
27.04;
31.3;0.16
24.17;0.27
21.4;0.12
22.41;
20.44;0.44
12.9;
27.92;
23.47;0.15
18.82;0.25
23.13;
24.26;
19.52;0.13
22.41;
18.64;
22.41;
26.94;
18.38;
10.73;
21.56;
30.45;0.11
30.25;
24.54;0.17
18.83;0.34
19.52;0.37
19.79;
22.41;0.25
20.44;
20.51;
21.29;
23.52;
26.63;0.1
20.44;0.33
16.1;
32.03;
20.44;
30.81;0.1
21.4;0.63
14.99;0.6
15.5;0.21
21.15;
20.57;
19.52;
19.15;0.2
17.8;
17.8;
8.52;0.19
13.25;
17;
17.8;
15.95;
16.23;
15.5;
15.74;
17.8;
22.65;0.25
18.64;
17.8;0.51
21.4;
14.94;
25.16;0.52
19.52;
25.65;0.12
24.97;0.17
14.24;
24.75;
11.22;
12.56;
16.23;
25.94;
19.52;0.35
22.41;0.3
25.73;
15.49;
23.55;0.2
17.8;
25.25;0.17
21.4;
13.68;
29.69;
18.17;
16.23;
16.69;
17.8;
13.02;
25.89;0.45
20.44;
10.53;
19.93;0.24
13.61;
17.8;
20.44;
17.8;0.15
18.64;
21.4;
20.44;0.32
16.23;
17;0.36
16.24;
17;0.08
24.57;0.17
17;
17.8;
16.23;
16.23;
20.63;
16.23;0.44
19.19;
12.09;
9.94;
17.8;0.1
11.76;
12.32;
17;
17.8;
14.81;
13.5;
16.33;
15.5;
10.78;
14.12;
27.61;
13.67;0.78
12.12;
10.11;
17.8;
11.76;
11.91;
11.08;
12.32;
17;
16.24;
10.73;0.24
17.8;
14.14;
14.81;
16.23;
10.2;
14.14;
12.32;
17;0.34
17.8;
16.23;0.6
13.5;
10.75;
13.5;
12.32;
12.9;
11.23;
12.9;
12.07;
15.51;
9.36;
6.17;
11.23;
13.5;
12.9;
9.78;0.16
10.93;
10.01;
7.35;
14.14;
11.76;
9;
10.24;0.42
12.32;
5.88;
13.85;0.4
10.56;
7.48;
12.32;
13.49;
10.09;0.37
8.84;
10.11;
6.94;
7.5;
12.32;
11.76;
11.53;
16.24;
8.22;
6.43;
9.34;
9.19;
9.78;
10.06;
9.86;
8.98;0.32
10.73;0.47
9.36;
10.24;
14.14;
9.56;
10.43;
11.53;
4;
9.84;
9.33;
9.34;
9.78;
10.24;
8.14;
8.84;
8.52;0.5
6.8;
6.97;
4.84;
11.23;0.14
9.34;0.21
5.43;
8.64;
12.32;
11.23;
5.1;
8.32;
13.5;
9.41;0.7
12.9;
11.76;
5.01;
5.49;
6.24;
8.33;
14.14;0.39
7.81;0.64
10.73;0.17
10.73;
9.34;
6.56;
3.6;
6.83;
6.92;
12.32;0.63
7.08;
6.37;
9.43;
9.34;
11.23;
6.58;
6.14;
7.06;
10.52;
11.76;
11.76;
8.86;
8.09;
11.23;
7.41;
10.73;
7.04;
10.29;0.56
7.59;
4.38;
15.51;
6.07;
7.77;
7.77;
8.98;
4.72;
5.92;
5.82;0.16
6.77;0.76
5.16;
7.04;
10.73;
7.31;
8.92;
6.77;
5.12;
6.46;
8.92;0.29
7.42;0.66
7.76;
7.07;
4.63;
9.78;
6.06;
7.42;
6.59;
4.97;0.9
7.1;
4.35;
6.98;
5.65;
5.11;
5.73;
9.34;
6.45;0.49
5.84;
4.38;
4.69;
4.46;
8.14;
6.76;
6.77;
10.24;
8.72;
4.31;
3.69;
9.01;0.31
7.42;
4.45;
8.14;
8.29;
6.61;
6.61;
7.14;
7.02;
7.77;
8.14;
4.81;
7.27;
5.51;
6.19;
5.63;
7.6;
6.46;0.44
5.74;
5.48;
4.9;0.67
10.24;
7.14;
5.38;
4.77;
4.31;
3.84;
5.13;
6.77;
5.38;0.44
6.46;
4.68;
4.46;
4.08;
4.78;
4.68;
4.08;
4.68;
4.9;
7.77;
3.72;
4.45;
3.5;0.53
4.88;
4.27;0.46
4.14;
6.17;0.61
3.53;
2.76;
3.92;
2.81;
4.08;
2.53;0.38
4.04;
4.44;
3.9;
5.08;
7.42;
3.18;
4.61;
4.92;
4.07;
3.31;
5.08;
3.39;
4.27;
5.45;
4.48;
3.07;
3.9;
7.09;0.82
4.47;
2.9;
2.86;
3.55;0.3
3.37;
3.47;
3.9;
3.15;
2.9;
4.06;
3.04;
3.39;
3.39;0.33
2.29;
2.9;
2.88;
2.5;
2.66;
2.21;
3.72;0.74
2.01;
2.95;
2.24;
2.3;
3.09;
2.21;
2.15;
2.09;
2.08;
2.53;
2.69;
2.03;
1.82;
2.4;
2.24;
2.17;
2.06;
2.05;
1.78;
1.56;
2.24;
2.82;
