FAMILY;DESCRIPTION
;No group or family determined
BAP;Baptistina
CEN;Centaur
CEN-C;Centaur - comet behavior (coma and/or tail)
CLO;Comet-like orbit
CMT;Comet
ERI;Erigone
EUN;Eunomia
FLOR;Flora
H;Hungaria
HIL;Hilda
KAR;Karin
MB-I;Main belt - inner
MB-IC;Main belt - inner, comet behavior (coma and/or tail)
MB-M;Main belt - middle
MB-MC;Main belt - middle, comet behavior (coma and/o r tail)
MB-O;Main belt - outer
MB-OC;Main belt - outer, comet behavior (coma and/or
MC;Mars crosser
NEA;NEA (Apollo/Aten/Amor)
NEA-C;NEA (Apollo/Aten/Amor), comet behavior (coma a
NYSA;Nysa
PHO;Phocaea
THM;Themis
TNO;TNO/KBO
TR-J;Trojan - Jupiter
TR-M;Trojan - Mars
TR-N;Trojan - Neptune
TR-S;Trojan - Saturn
TR-U;Trojan - Uranus
