NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
158;Koronis;;KOR;S;S;C;;34.25;L;9.34;;L;;0.2766;;14.218;;;;0.28;0.43;3;;;;Y;;
167;Urda;;KOR;S;S;L;;44;M;9.1;;D;;0.209;;13.07;;;;0.24;0.39;3;;;;Y;;
208;Lacrimosa;;KOR;S;S;C;;40.7;L;9.32;;D;;0.1995;;14.085;;;;0.15;0.33;3;;;;Y;;
243;Ida;;KOR;S;S;S;;27.99;M;9.94;;S;;0.2383;;4.634;;;;0.45;0.86;3;;B;;Y;;
263;Dresda;;KOR;S;S;D;;23.16;L;10.48;;D;;0.2116;;16.809;;;;0.37;0.55;3;;;;Y;;
277;Elvira;;KOR;T;S;D;;27.01;L;9.97;;D;;0.2488;;29.69;;;;0.34;0.59;3;;;;Y;;
311;Claudia;;KOR;T;S;D;;23.68;L;10.17;;D;;0.2694;;7.532;;;;0.16;0.89;3;;;;Y;;
321;Florentina;;KOR;S;S;D;;27.13;L;10.13;;D;;0.2129;;2.871;;;;0.31;0.52;3;;;;Y;;
452;Hamiltonia;1899 FD;KOR;A;S;C;;11.84;M;11.8;;A;;0.24;;2.8813;;;;0.17;0.23;3;;;;;;
462;Eriphyla;1900 FQ;KOR;S;S;D;;35.32;L;9.41;;S;;0.2438;;8.659;;;;0.11;0.39;3;;;;Y;;
534;Nassovia;1904 OA;KOR;S;S;D;;32.89;L;9.97;;S;;0.1678;;9.382;;;;0.15;0.37;3;;;;Y;;
658;Asteria;1908 BW;KOR;T;S;D;;22.81;L;10.71;;S;;0.1765;;21.034;;;;0.22;0.28;3;;;;;;
720;Bohlinia;1911 MW;KOR;S;S;D;;33.96;L;9.53;;S;;0.2361;;8.919;;;;0.16;0.46;3;;;;Y;;
761;Brendelia;1913 SO;KOR;T;SC;C;;18.51;M;10.83;;A;;0.24;;57.96;;;;;0.25;2;+;;;Y;;
811;Nauheima;1915 XR;KOR;T;S;D;;18.77;L;10.8;;A;;0.24;;4.0011;;;;0.11;0.2;3;;;;;;
962;Aslog;1921 KP;KOR;T;S;C;;13.47;M;11.52;;A;;0.24;;5.465;;;;;0.21;3;;;;;;
975;Perseveran;tia                  1922 LT;KOR;T;S;S;;26.49;M;10.41;;S;;0.1726;;7.267;;;;0.17;0.23;3;;;;;;
993;Moultona;1923 NJ;KOR;A;S;C;;13.6;M;11.5;;A;;0.24;;5.2712;;;;;0.73;3;;;;;;
1029;La Plata;1924 RK;KOR;T;S;D;;20.71;L;10.99;;D;;0.1655;;15.31;;;;0.26;0.58;3;;;;Y;;
1079;Mimosa;1927 AD;KOR;T;S;D;;20.67;L;11.23;;D;;0.1332;;64.6;;;;0.07;0.13;2;-;;;;;
1100;Arnica;1928 SD;KOR;A;S;C;;17.92;M;10.9;;A;;0.24;;14.535;;;;0.09;0.28;3;;;;;;
1223;Neckar;1931 TG;KOR;T;S;D;;27.96;L;10.66;;L;;0.123;;7.81;;;;0.16;0.45;3;;;;Y;;
1245;Calvinia;1932 KF;KOR;T;S;D;;26.83;M;9.9;;D;;0.2689;;4.8523;;;;0.28;0.7;3;;;;Y;;
1289;Kutaissi;1933 QR;KOR;T;S;D;;25.53;L;10.87;;D;;0.1216;;3.6;;;;0.2;0.42;3;;;;Y;;
1336;Zeelandia;1934 RW;KOR;S;S;S;;20.99;M;10.66;;S;;0.2183;;15.602;;;;0.5;0.61;3;;;;;;
1350;Rosselia;1934 TA;KOR;S;S;S;;23.35;M;10.78;;S;;0.1579;;8.14;;;;0.3;0.54;3;;;;Y;;
1363;Herberta;1935 RA;KOR;A;S;C;;14.91;M;11.3;;A;;0.24;;3.015;;;;;0.12;3;-;;;;;
1389;Onnie;1935 SS1;KOR;T;S;D;;12.46;L;11.69;;A;;0.24;;22.5;;;;;0.34;2;;;;Y;;
1423;Jose;1936 QM;KOR;S;S;D;;25.88;M;10.9;;D;;0.1151;;12.307;;;;0.68;0.96;3;;;;Y;;
1482;Sebastiana;1938 DA1;KOR;T;S;D;;16.35;L;11.1;;A;;0.24;;10.489;;;;0.57;0.78;3;;;;Y;;
1497;Tampere;1938 SB1;KOR;A;S;C;;12.06;T;11.76;;A;;0.24;;3.64;;;;0.2;0.42;3;-;;;;;
1553;Bauersfeld;a                    1940 AD;KOR;A;S;C;;11.48;T;11.87;;A;;0.24;;51.191;;;;;0.26;2;;;;;;Y
1570;Brunonia;1948 TX;KOR;A;S;C;;10.8;M;12;;A;;0.24;>;48;;;>;;0.6;;;;;;;Y
1635;Bohrmann;1924 QW;KOR;S;S;C;;17.12;M;11;;A;;0.24;;5.864;;;;0.25;0.5;3;;;;Y;;
1725;CrAO;1930 SK;KOR;A;S;D;;15.12;L;11.27;;A;;0.26;;21.45;;;;0.08;0.28;2;;;;;;
1741;Giclas;1960 BC;KOR;A;S;C;;14.24;M;11.4;;A;;0.24;;2.943;;;;0.1;0.15;3;;;;;;
1742;Schaifers;1934 RO;KOR;A;S;D;;19.85;L;11.87;;D;;0.0801;;8.56;;;;0.8;1.46;3;;;;Y;;
1762;Russell;1953 TZ;KOR;A;S;C;;15.61;M;11.2;;A;;0.24;;12.797;;;;;0.46;3;-;;;Y;;
1774;Kulikov;1968 UG1;KOR;A;S;C;;10.8;M;12;;A;;0.24;;3.832;;;;;0.38;3;-;;;Y;;
1802;Zhang Heng;1964 TW1;KOR;A;S;C;;12.4;M;11.7;;A;;0.24;;3.162;;;;0.27;0.37;2;+;;;;;
1824;* Haworth;1952 FM;KOR;A;S;C;;14.24;M;11.4;;A;;0.24;S;17.8223;;;;;;2;N;;;Y;;
1835;Gajdariya;1970 OE;KOR;A;S;C;;12.4;M;11.7;;A;;0.24;;6.3276;;;;;0.5;3;;;;Y;;
1848;Delvaux;1933 QD;KOR;S;S;C;;17.12;M;11;;A;;0.24;;3.637;;;;0.57;0.69;3;;;;Y;;
1878;Hughes;1933 QC;KOR;A;S;C;;11.84;M;11.8;;A;;0.24;;2.683;;;;;0.1;3;;;;;;Y
1912;Anubis;6534 P-L;KOR;A;S;C;;10.28;T;12.11;;A;;0.24;;4.626;;;;0.18;0.47;2;;;;;;Y
1913;Sekanina;1928 SF;KOR;A;S;C;;12.98;M;11.6;;A;;0.24;;13.97;;;;0.3;0.31;2;+;;;;;Y
1955;McMath;1963 SR;KOR;A;S;C;;10.31;M;12.1;;A;;0.24;;5.574;;;;0.3;0.39;3;;;;;;
2117;Danmark;1978 AC;KOR;A;S;C;;11.84;M;11.8;;A;;0.24;;16.598;;;;;0.54;3;-;;;;;
2123;Vltava;1973 SL2;KOR;A;S;S;;14.42;M;11.5;;S;;0.2135;;34;;;;0.19;0.21;2;;;;;;
2144;Marietta;1975 BC1;KOR;A;S;C;;14.91;M;11.3;;A;;0.24;;5.488;;;;0.4;0.44;3;;;;;;
2160;Spitzer;1956 RL;KOR;A;S;C;;10.8;M;12;;A;;0.24;;5.9;;;;;;2;#NAME?;;;;;
2209;Tianjin;1978 US1;KOR;A;S;D;;16.29;M;11.1;;D;;0.2418;;9.47;;;;0.41;0.42;3;;;;;;
2224;Tucson;2528 P-L;KOR;A;S;D;;22.44;M;11.9;;D;;0.0609;;27.01;;;;;0.54;3;-;;;;;
2230;* Yunnan;1978 UT1;KOR;A;S;C;;11.31;M;11.9;;A;;0.24;S;10.0381;;;;;;2;N;;;Y;;
2268;Szmytowna;1942 VW;KOR;S;S;L;;13;L;11.87;;L;;0.2;;11.26;;;;0.42;0.6;3;;;;;;
2295;* Matusovski;j                    1977 QD1;KOR;A;S;C;;11.31;M;11.9;;A;;0.24;S;3.9504;;;;;;2;N;;;Y;;Y
2319;Aristides;7631 P-L;KOR;A;S;C;;8.76;T;12.46;;A;;0.24;;86.787;;;;0.56;0.61;2;;;;;;Y
2338;Bokhan;1977 QA3;KOR;A;S;C;;11.31;M;11.9;;A;;0.24;>;8;;;;;0.05;1;;;;;;
2574;Ladoga;1968 UP;KOR;A;S;C;;12.4;M;11.7;;A;;0.24;;27.24;;;;;0.26;3;-;;;;;
2620;Santana;1980 TN;KOR;A;S;C;;6.6;T;13.07;;A;;0.24;;3.392;;;;;0.56;2;;;;;;Y
2626;Belnika;1978 PP2;KOR;A;S;C;;12.4;M;11.7;;A;;0.24;;7.234;;;;;0.11;3;-;;;;;
2700;Baikonur;1976 YP7;KOR;A;S;C;;9.4;T;12.3;;A;;0.24;;10.566;;;;;0.66;2;;;;Y;;Y
2713;Luxembourg;1938 EA;KOR;A;S;C;;14.24;M;11.4;;A;;0.24;;3.579;;;;0.47;0.64;3;-;;;Y;;
2726;Kotelnikov;1979 SE9;KOR;A;S;C;;9.85;M;12.2;;A;;0.24;;4.9075;;;;0.21;0.34;2;;;;;;
2729;Urumqi;1979 UA2;KOR;A;S;D;;18.92;M;11.5;;D;;0.124;;3.127;;;;0.19;0.35;3;;;;;;
2785;Sedov;1978 QN2;KOR;A;S;C;;8.98;M;12.4;;A;;0.24;;5.49;;;;0.31;0.45;3;-;;;Y;;
2811;Stremchovi;1980 JA;KOR;A;S;C;;11.84;M;11.8;;A;;0.24;;3.249;;;;0.28;0.33;3;;;;;;
2814;Vieira;1982 FA3;KOR;A;S;C;;8.66;T;12.48;;A;;0.24;;3.366;;;;0.17;0.18;2;;;;;;Y
2931;Mayakovsky;1969 UC;KOR;A;S;C;;11.84;M;11.8;;A;;0.24;;37.38;;;;0.14;0.23;3;;;;;;
2985;Shakespear;e                    1983 TV1;KOR;A;S;C;;10.31;M;12.1;;A;;0.24;;6.06;;;;0.39;0.57;3;;;;Y;;
3019;* Kulin;1940 AC;KOR;A;S;C;;11.31;M;11.9;;A;;0.24;S;92.577;;;;;;2;N;;;Y;;Y
3032;Evans;1984 CA1;KOR;A;S;C;;13.6;M;11.5;;A;;0.24;;3.397;;;;0.1;0.16;2;+;;;;;
3117;Niepce;1983 CM1;KOR;A;S;C;;8.98;M;12.4;;A;;0.24;;9.84;;;;;0.85;2;;;;;;
3207;Spinrad;1981 EY25;KOR;A;S;C;;7.68;T;12.74;;A;;0.24;;2.73;;;;;0.18;2;;;;;;Y
3261;Tvardovski;j                    1979 SF9;KOR;A;S;C;;11.84;M;11.8;;A;;0.24;S;5.3685;;;;;;2;N;;;Y;Y;
3409;Abramov;1977 RE6;KOR;A;S;C;;10.8;M;12;;A;;0.24;;7.791;;;;0.49;0.5;3;;;;;;
3436;Ibadinov;1976 SS3;KOR;A;S;C;;8.58;M;12.5;;A;;0.24;>;170;;;;;1;1;;;;;;
3623;Chaplin;1981 TG2;KOR;L;S;C;;10.8;M;12;;A;;0.24;;8.361;;;;0.8;0.97;3;;B;;;;
3726;Johnadams;1981 LJ;KOR;A;S;C;;8.71;T;12.47;;A;;0.24;;3.509;;;;;0.11;2;;;;;;Y
3780;Maury;1985 RL;KOR;A;S;C;;10.31;M;12.1;;A;;0.24;;3.46;;;;;0.16;2;-;;;;;
3791;Marci;1981 WV1;KOR;A;S;C;;9.53;T;12.27;;A;;0.24;;10.584;;;;;0.18;2;;;;;;Y
3975;Verdi;1982 UR3;KOR;A;S;C;;7.91;T;12.68;;A;;0.24;;8.158;;;;;0.71;2;;;;;;Y
4084;Hollis;1985 GM;KOR;A;S;C;;9.85;M;12.2;;A;;0.24;;;;;;;;;;;;Y;;
4345;* Rachmanino;ff                   1988 CM2;KOR;A;S;C;;8.19;M;12.6;;A;;0.24;S;4.4842;;;;;;2;N;;;Y;;
4351;Nobuhisa;1989 UR1;KOR;A;S;C;;7.19;T;12.88;;A;;0.24;;2.919;;;;;0.27;2;;;;;;Y
4365;Ivanova;1978 VH8;KOR;A;S;C;;8.19;M;12.6;;A;;0.24;;9.84;;;;0.65;0.89;2;+;;;;;Y
4506;Hendrie;1990 FJ;KOR;A;S;C;;7.07;T;12.92;;A;;0.24;;5.511;;;;0.67;0.76;2;;;;;;Y
4664;Hanner;1985 PJ;KOR;A;S;C;;7.42;T;12.81;;A;;0.24;;3.011;;;;0.3;0.31;2;;;;;;Y
