NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
4;Vesta;;V;S;V;S;;468.3;M;3.2;;S;;0.4228;;5.342;;;;0.12;0.19;3;;;;Y;;
9;Metis;;V;T;S;L;;199.96;L;6.33;;L;;0.1298;;5.079;;;;0.05;0.32;3;;;;Y;;
17;Thetis;;V;S;S;L;;93.34;L;7.9;;L;;0.1403;S;12.2705;;;;0.2;0.4;3;;;;Y;;
63;Ausonia;;V;S;S;L;;90;M;7.55;;D;;0.2082;;9.298;;;;0.27;0.47;3;;;;Y;;
113;Amalthea;;V;S;S;S;;46.14;M;8.74;;S;;0.2649;;9.95;;;;0.19;0.22;3;;?;;Y;;
169;Zelia;;V;S;S;S;;33.6;M;9.56;;S;;0.2347;;14.537;;;;0.13;0.3;3;;;;;;
189;Phthia;;V;S;S;L;;40.38;L;9.6;;L;;0.1566;;22.346;;;;0.18;0.28;3;;;;Y;;
306;Unitas;;V;S;S;L;;49;M;8.96;;D;;0.1917;;8.736;;;;0.16;0.3;3;;;;Y;;
337;Devosa;1892 E;V;S;X;D;;59.33;L;8.61;;D;;0.1805;;4.653;;;;0.08;0.75;3;3;;;Y;;
470;Kilia;1901 GJ;V;S;S;S;;26.39;M;10.07;;S;;0.2379;;290;;;;;0.26;2;T0;;;;;
556;Phyllis;1905 PW;V;S;S;L;;38.69;L;9.52;;L;;0.1836;;4.293;;;;0.22;0.47;3;;;;Y;;
585;Bilkis;1906 TA;V;T;C;S;;58.09;M;10.4;;S;;0.0362;;8.577;;;;0.1;0.41;3;;;;Y;;
620;Drakonia;1906 WE;V;T;E;C;;11.65;M;11.28;;A;;0.4;;5.487;;;;0.52;0.65;3;;;;Y;;
752;Sulamitis;1913 RL;V;A;C;D;;62.69;M;10.3;;D;;0.0341;;27.367;;;;0.2;0.45;3;;;;;;
757;Portlandia;1908 EJ;V;S;X;S;;32.09;M;10.2;;S;;0.1427;;6.5837;;;;0.24;0.45;3;;;;Y;;
932;Hooveria;1920 GV;V;T;CB;C;;29.72;M;10;;A;;0.2;;78.44;;;;0.2;0.24;3;;;;;;
1145;Robelmonte;1929 CC;V;A;S;D;;23.16;M;11.3;;D;;0.0994;;8.002;;;;0.13;0.18;3;-;;;;;
1152;Pawona;1930 AD;V;S;S;D;;15.82;M;11.1;;D;;0.2561;;3.4154;;;;0.16;0.26;3;;;;;;
1375;Alfreda;1935 UB;V;A;S;C;;15.6;M;11.4;;A;;0.2;;19.14;;;;0.05;0.17;3;-;;;;;
1393;Sofala;1936 KD;V;A;S;C;;11.3;M;12.1;;A;;0.2;S;16.5931;;;;;0.48;2;;;;Y;;
1454;Kalevala;1936 DO;V;A;S;C;;8.57;M;12.7;;A;;0.2;;;;;;;0.37;;N;;;;;
1522;Kokkola;1938 WO;V;A;S;D;;9.57;L;12.46;;A;;0.2;;5.83;;;;;0.29;3;;;;;;
1589;Fanatica;1950 RK;V;A;S;C;;12.39;M;11.9;;A;;0.2;;2.58;;;;0.16;0.18;3;;;;;;
1697;Koskenniem;i                    1940 RM;V;A;S;C;;8.18;M;12.8;;A;;0.2;;2.3923;;;;0.07;0.09;2;+;;;;;
1743;Schmidt;4109 P-L;V;A;S;S;;17.28;L;12.48;;S;;0.0603;;17.45;;;;;0.36;3;;;;Y;;
1770;Schlesinge;r                    1967 JR;V;A;S;C;;11.83;M;12;;A;;0.2;;2.8804;;;;0.25;0.31;3;;?;;;;
1773;Rumpelstil;z                    1968 HE;V;A;S;C;;12.39;M;11.9;;A;;0.2;;105.44;;;;0.62;0.77;3;;;;;;
1781;Van Biesbr;oeck                 A906 UB;V;A;S;C;;8.18;M;12.8;;A;;0.2;;;;;;;;2;;;Y;;;
1800;Aguilar;1950 RJ;V;A;S;C;;8.18;M;12.8;;A;;0.2;;2.478;;;;;0.11;3;;;;;;
